id,value
id_0,15.077221082504304
id_1,23.62843849472229
id_2,29.565787397684183
id_3,16.787209220765163
id_4,31.66461602251018
id_5,27.762947828897744
id_6,29.302352335831753
id_7,34.65670141136613
id_8,23.64772269032539
id_9,54.69438398137636
id_10,21.88806926272691
id_11,19.79424741835173
id_12,56.90560243534994
id_13,51.6175055675693
id_14,28.24321151067352
id_15,20.516906010420136
id_16,34.90109545171724
id_17,62.16052603461232
id_18,4.4960538429605075
id_19,24.577163721108228
id_20,43.45810547508831
id_21,65.37449642062793
id_22,17.890000992534894
id_23,24.95247203655246
id_24,22.027755247618963
id_25,40.14135165584011
id_26,22.11612475819814
id_27,67.06025173245851
id_28,17.172642387592163
id_29,53.112939004083465
id_30,28.61419781136398
id_31,18.418609203839075
id_32,11.197008822344237
id_33,27.155061991748315
id_34,33.65688327598497
id_35,39.38106575217038
id_36,43.65441362668913
id_37,33.82561195062237
id_38,43.24785544332633
id_39,38.14916523216422
id_40,16.612046420060764
id_41,41.169035927846025
id_42,35.62872177104652
id_43,48.89145321968168
id_44,23.0914550218646
id_45,38.26252799263617
id_46,30.116864340396898
id_47,19.628575343660092
id_48,29.25843374051852
id_49,34.86669758507269
id_50,27.672797719839096
id_51,17.884006788753748
id_52,27.450106464644275
id_53,51.04571527766888
id_54,23.90307133173712
id_55,39.278600400975606
id_56,35.85321421827811
id_57,28.652408637550014
id_58,56.13096162267873
id_59,27.388359167380067
id_60,23.408696961298826
id_61,42.6879379139817
id_62,21.520524336145716
id_63,48.73537634666607
id_64,18.542837863019514
id_65,23.531896501204912
id_66,22.219214827804404
id_67,14.313477630549352
id_68,43.68390903363416
id_69,34.89161841392921
id_70,26.768432298721873
id_71,40.22401876841937
id_72,56.444094584689786
id_73,15.25146312281415
id_74,23.994513828967776
id_75,15.185881740159312
id_76,40.64049796938153
id_77,22.753061580104806
id_78,29.154341721213633
id_79,28.24615055769594
id_80,29.414311125864984
id_81,41.48831878136753
id_82,27.882194566437416
id_83,79.19773004936212
id_84,38.24265034326697
id_85,31.20105140247534
id_86,28.73458920713995
id_87,34.5124822388633
id_88,29.175716938425907
id_89,27.04745591980623
id_90,33.665170328489204
id_91,41.30272835854452
id_92,14.306004447200745
id_93,39.52896883195344
id_94,45.33703583998005
id_95,23.335724946464197
id_96,35.70895180467947
id_97,20.468958557503594
id_98,30.35144334360019
id_99,13.99339448531564
id_100,25.085339272294426
id_101,32.7481008934856
id_102,21.355703820735503
id_103,23.659673230637903
id_104,28.29779760311831
id_105,40.66769587422462
id_106,31.770543629334348
id_107,16.693851746333497
id_108,18.910313835865715
id_109,69.77299620111604
id_110,45.513250051455465
id_111,23.00442570763902
id_112,32.37929138406363
id_113,23.4958361661778
id_114,21.551261167498144
id_115,30.47334175822654
id_116,30.335121811649262
id_117,17.96654158558328
id_118,24.931002815300218
id_119,25.966817192500994
id_120,68.8869284864446
id_121,29.74032109654063
id_122,36.5894735998746
id_123,29.79867445229003
id_124,17.79782996902539
id_125,42.70958097743154
id_126,19.082059884991928
id_127,26.32875781002023
id_128,32.39028602904147
id_129,58.04564577290082
id_130,27.45501599651445
id_131,29.521320169574416
id_132,54.682950571089805
id_133,22.71348846210807
id_134,21.669178327273492
id_135,13.01044119307222
id_136,20.606863201422208
id_137,55.00234486069982
id_138,31.446130197596833
id_139,10.959785812687906
id_140,32.077898637261264
id_141,30.747614669854816
id_142,43.22316543612545
id_143,32.68121936666592
id_144,24.638254936182538
id_145,30.933684443021146
id_146,19.057256419862153
id_147,49.88847316525144
id_148,27.322942797270056
id_149,40.317587030595774
id_150,18.084619680096985
id_151,17.017970643264604
id_152,29.665518351768625
id_153,16.338914405835155
id_154,22.509986269867294
id_155,42.40550254685437
id_156,17.643482987852057
id_157,38.935918130722015
id_158,18.818990731632237
id_159,25.415314140614814
id_160,43.168200550122435
id_161,24.366552516124052
id_162,20.28420060779044
id_163,17.123079850124952
id_164,49.020775179174315
id_165,32.57433450565744
id_166,-7.8658831424688405
id_167,22.285174463581612
id_168,58.58013848526485
